id,totalTramas
352887077515033,50000
352887077516601,50000
888880100037235,9163
352887077596561,50000
864180037339111,25000
358688800539215,20811
355488020979552,4286
888880100037145,16563
357857045070770,9602
352887075005425,25000
6028016075,25000
353506810025325,11741
865205030612013,4189
27044225340,6447
358688800526519,24501
358688800527129,22502
866159038873748,25000
865205030308224,25000
6028017389,25000
355488020990703,5401
358688800523540,25000
358688800537482,25000
352887077596835,25000
358688800537003,25000
866159039058240,25000
355488020845361,9521
358688800525693,7879
27044669448,24149
27044669372,25000
862193021281993,15316
357857045070432,8122
866159038906563,25000
866159039053597,25000
862894021221075,25000
862894021172518,25000
17054896471,4413
358688800523243,25000
358688800526964,25000
868500020141545,25000
864180033024972,210
358688800523375,8299
865205030309768,4292
358688800523482,25000
358688800537599,7941
865205030518160,25000
8170631785,24952
